ID,x,y
1,580037,4878169
2,580161,4878730
3,579662,4878044
4,579251,4878891
5,580555,4878645
6,578231,4878501
7,578219,4879120
8,578072,4879449
9,577337,4879201
10,577311,4879950
11,577149,4878423
12,580872,4879586
13,580098,4879018
14,580011,4879595
15,580607,4880052
16,580706,4880578
17,579825,4879898
18,576696,4878290
19,576258,4878349
20,576870,4879162
21,576301,4879896
22,576109,4880685
23,576700,4880731
24,576253,4881570
25,575556,4881515
26,576988,4882026
27,576299,4882477
28,575480,4882296
29,575144,4881595
30,575320,4882770
31,574765,4882770
32,574765,4883334
33,574342,4883835
34,579524,4882191
35,579005,4882538
36,578548,4881752
37,578125,4882327
38,577700,4882970
39,578141,4883582
40,577313,4884201
41,577795,4884415
42,576620,4884372
43,576575,4883825
44,575638,4883263
45,575855,4884512
46,574778,4884548
47,574251,4884036
48,574490,4884471
49,578890,4883286
50,578785,4883618
51,576184,4883026
52,580281,4882815
53,579584,4883065
54,580359,4884375
55,577603,4880308
56,578679,4880442
57,579198,4879268
58,579710,4880788
59,580603,4881404
60,579095,4881862
61,577786,4881669
62,580079,4885010
63,579390,4885427
64,575710,4880950
65,574634,4882522
66,574580,4882340
67,575820,4879020
68,574600,4881850
69,576450,4878060
70,574601,4883316
71,574600,4882498
72,574452,4881866
73,575778,4880605
74,575798,4879104
75,576520,4878012
101,575720,4892491
102,575142,4892966
103,574593,4892780
104,574240,4892225
105,574512,4891625
106,575294,4891881
107,574385,4891169
108,575241,4891145
109,574273,4890385
110,575842,4890701
111,575822,4889662
112,575142,4889792
113,576161,4892239
114,574548,4889645
115,574135,4888187
116,575810,4888531
117,576248,4889601
118,576932,4888330
119,576476,4889057
120,575490,4887560
121,574292,4887404
122,574756,4886573
123,576047,4886264
124,574752,4885696
125,576297,4887520
126,576165,4885880
127,575420,4885293
128,574576,4885433
129,576323,4886413
130,576836,4886445
131,577654,4887655
132,577145,4886742
133,578321,4886215
134,577764,4885090
135,577551,4885577
136,578113,4885750
137,578964,4885165
138,579688,4885436
139,579819,4886295
140,579247,4886300
141,578834,4887373
142,580151,4885485
143,580813,4886695
144,579951,4887056
145,579344,4887198
146,579128,4888001
147,579643,4888502
148,580476,4888225
149,579583,4889485
150,580557,4889072
151,578210,4888520
152,578924,4889004
153,577109,4888386
154,577422,4888813
155,576767,4890501
156,577316,4890859
157,578598,4890668
158,579465,4890790
159,580762,4890493
160,580604,4890101
161,580063,4891132
162,579767,4891500
163,580798,4892516
164,579505,4892204
165,578631,4892526
166,580097,4891677
167,577654,4892762
168,577568,4891939
169,576318,4891077
170,578741,4891486
201,572369,4896767
202,572528,4897418
203,572452,4897691
204,572087,4898394
205,573049,4898758
206,573521,4897870
207,573825,4898091
208,573841,4897534
209,574324,4898391
210,574593,4897574
211,573452,4897015
212,571728,4896552
213,572468,4896025
214,572393,4895380
215,572830,4894794
216,571978,4894443
217,573669,4896180
218,573449,4895504
219,573495,4894803
220,573172,4894447
221,572588,4893819
222,572490,4893261
223,573350,4893750
224,573818,4893868
225,574451,4894130
226,574545,4895506
227,574898,4895771
228,574449,4896426
229,574937,4896484
230,575889,4897103
231,575885,4897419
232,575635,4897975
233,575615,4898486
234,576787,4897384
235,576110,4898278
236,577436,4897280
237,578050,4897491
238,577810,4898692
239,578265,4898197
240,579045,4898410
241,578500,4897290
243,578342,4895822
244,578749,4896177
245,579372,4896730
246,578851,4896329
248,577351,4895527
249,575708,4893168
250,576331,4894533
251,575570,4895327
252,576372,4895512
253,577356,4894735
254,577298,4893664
255,576743,4893142
256,578184,4893142
257,579262,4894327
258,578306,4894484
259,574492,4896994
260,577203,4895324
261,571909,4897292
262,574331,4894611
264,576645,4896635
